"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-08-31 21:01:00","2021-08-31 21:01:00","2021-09-01 00:01:00","2021-09-01 00:01:00","1549.5"
"2021-08-31 21:04:00","2021-08-31 21:04:00","2021-09-01 00:04:00","2021-09-01 00:04:00","1560.0"
"2021-08-31 21:07:00","2021-08-31 21:07:00","2021-09-01 00:07:00","2021-09-01 00:07:00","1547.0"
"2021-08-31 21:10:00","2021-08-31 21:10:00","2021-09-01 00:10:00","2021-09-01 00:10:00","1544.6"
"2021-08-31 21:13:00","2021-08-31 21:13:00","2021-09-01 00:13:00","2021-09-01 00:13:00","1546.5"
"2021-08-31 21:16:00","2021-08-31 21:16:00","2021-09-01 00:16:00","2021-09-01 00:16:00","1532.5"
"2021-08-31 21:19:00","2021-08-31 21:19:00","2021-09-01 00:19:00","2021-09-01 00:19:00","1537.0"
"2021-08-31 21:22:00","2021-08-31 21:22:00","2021-09-01 00:22:00","2021-09-01 00:22:00","1528.1"
"2021-08-31 21:25:00","2021-08-31 21:25:00","2021-09-01 00:25:00","2021-09-01 00:25:00","1518.0"
"2021-08-31 21:28:00","2021-08-31 21:28:00","2021-09-01 00:28:00","2021-09-01 00:28:00","1509.5"
"2021-08-31 21:31:00","2021-08-31 21:31:00","2021-09-01 00:31:00","2021-09-01 00:31:00","1517.5"
"2021-08-31 21:34:00","2021-08-31 21:34:00","2021-09-01 00:34:00","2021-09-01 00:34:00","1523.5"
"2021-08-31 21:37:00","2021-08-31 21:37:00","2021-09-01 00:37:00","2021-09-01 00:37:00","1538.5"
"2021-08-31 21:40:00","2021-08-31 21:40:00","2021-09-01 00:40:00","2021-09-01 00:40:00","1517.4"
"2021-08-31 21:43:00","2021-08-31 21:43:00","2021-09-01 00:43:00","2021-09-01 00:43:00","1520.9"
"2021-08-31 21:46:00","2021-08-31 21:46:00","2021-09-01 00:46:00","2021-09-01 00:46:00","1500.0"
"2021-08-31 21:49:00","2021-08-31 21:49:00","2021-09-01 00:49:00","2021-09-01 00:49:00","1519.0"
"2021-08-31 21:52:00","2021-08-31 21:52:00","2021-09-01 00:52:00","2021-09-01 00:52:00","1531.5"
"2021-08-31 21:55:00","2021-08-31 21:55:00","2021-09-01 00:55:00","2021-09-01 00:55:00","1527.5"
"2021-08-31 21:58:00","2021-08-31 21:58:00","2021-09-01 00:58:00","2021-09-01 00:58:00","1533.5"
"2021-08-31 22:01:00","2021-08-31 22:01:00","2021-09-01 01:01:00","2021-09-01 01:01:00","1473.5"
"2021-08-31 22:04:00","2021-08-31 22:04:00","2021-09-01 01:04:00","2021-09-01 01:04:00","1486.0"
"2021-08-31 22:07:00","2021-08-31 22:07:00","2021-09-01 01:07:00","2021-09-01 01:07:00","1494.0"
"2021-08-31 22:10:00","2021-08-31 22:10:00","2021-09-01 01:10:00","2021-09-01 01:10:00","1495.0"
"2021-08-31 22:13:00","2021-08-31 22:13:00","2021-09-01 01:13:00","2021-09-01 01:13:00","1481.5"
"2021-08-31 22:16:00","2021-08-31 22:16:00","2021-09-01 01:16:00","2021-09-01 01:16:00","1480.5"
"2021-08-31 22:19:00","2021-08-31 22:19:00","2021-09-01 01:19:00","2021-09-01 01:19:00","1481.0"
"2021-08-31 22:22:00","2021-08-31 22:22:00","2021-09-01 01:22:00","2021-09-01 01:22:00","1481.0"
"2021-08-31 22:25:00","2021-08-31 22:25:00","2021-09-01 01:25:00","2021-09-01 01:25:00","1499.0"
"2021-08-31 22:28:00","2021-08-31 22:28:00","2021-09-01 01:28:00","2021-09-01 01:28:00","1521.0"
"2021-08-31 22:31:00","2021-08-31 22:31:00","2021-09-01 01:31:00","2021-09-01 01:31:00","1529.5"
"2021-08-31 22:34:00","2021-08-31 22:34:00","2021-09-01 01:34:00","2021-09-01 01:34:00","1543.0"
"2021-08-31 22:37:00","2021-08-31 22:37:00","2021-09-01 01:37:00","2021-09-01 01:37:00","1545.5"
"2021-08-31 22:40:00","2021-08-31 22:40:00","2021-09-01 01:40:00","2021-09-01 01:40:00","1508.5"
