"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-10-31 21:01:00","2021-10-31 21:01:00","2021-11-01 00:01:00","2021-11-01 00:01:00","1239.0"
"2021-10-31 21:04:00","2021-10-31 21:04:00","2021-11-01 00:04:00","2021-11-01 00:04:00","1241.5"
"2021-10-31 21:07:00","2021-10-31 21:07:00","2021-11-01 00:07:00","2021-11-01 00:07:00","1240.5"
"2021-10-31 21:10:00","2021-10-31 21:10:00","2021-11-01 00:10:00","2021-11-01 00:10:00","1253.0"
"2021-10-31 21:13:00","2021-10-31 21:13:00","2021-11-01 00:13:00","2021-11-01 00:13:00","1260.0"
"2021-10-31 21:16:00","2021-10-31 21:16:00","2021-11-01 00:16:00","2021-11-01 00:16:00","1257.9"
"2021-10-31 21:19:00","2021-10-31 21:19:00","2021-11-01 00:19:00","2021-11-01 00:19:00","1253.5"
"2021-10-31 21:22:00","2021-10-31 21:22:00","2021-11-01 00:22:00","2021-11-01 00:22:00","1256.5"
"2021-10-31 21:25:00","2021-10-31 21:25:00","2021-11-01 00:25:00","2021-11-01 00:25:00","1260.6"
"2021-10-31 21:28:00","2021-10-31 21:28:00","2021-11-01 00:28:00","2021-11-01 00:28:00","1262.5"
"2021-10-31 21:31:00","2021-10-31 21:31:00","2021-11-01 00:31:00","2021-11-01 00:31:00","1267.5"
"2021-10-31 21:34:00","2021-10-31 21:34:00","2021-11-01 00:34:00","2021-11-01 00:34:00","1269.5"
"2021-10-31 21:37:00","2021-10-31 21:37:00","2021-11-01 00:37:00","2021-11-01 00:37:00","1290.0"
"2021-10-31 21:40:00","2021-10-31 21:40:00","2021-11-01 00:40:00","2021-11-01 00:40:00","1293.6"
"2021-10-31 21:43:00","2021-10-31 21:43:00","2021-11-01 00:43:00","2021-11-01 00:43:00","1308.0"
"2021-10-31 21:46:00","2021-10-31 21:46:00","2021-11-01 00:46:00","2021-11-01 00:46:00","1315.0"
"2021-10-31 21:49:00","2021-10-31 21:49:00","2021-11-01 00:49:00","2021-11-01 00:49:00","1308.5"
"2021-10-31 21:52:00","2021-10-31 21:52:00","2021-11-01 00:52:00","2021-11-01 00:52:00","1296.0"
"2021-10-31 21:55:00","2021-10-31 21:55:00","2021-11-01 00:55:00","2021-11-01 00:55:00","1297.0"
"2021-10-31 21:58:00","2021-10-31 21:58:00","2021-11-01 00:58:00","2021-11-01 00:58:00","1280.0"
"2021-10-31 22:01:00","2021-10-31 22:01:00","2021-11-01 01:01:00","2021-11-01 01:01:00","1270.1"
"2021-10-31 22:04:00","2021-10-31 22:04:00","2021-11-01 01:04:00","2021-11-01 01:04:00","1265.0"
"2021-10-31 22:07:00","2021-10-31 22:07:00","2021-11-01 01:07:00","2021-11-01 01:07:00","1265.5"
"2021-10-31 22:10:00","2021-10-31 22:10:00","2021-11-01 01:10:00","2021-11-01 01:10:00","1269.5"
"2021-10-31 22:13:00","2021-10-31 22:13:00","2021-11-01 01:13:00","2021-11-01 01:13:00","1279.0"
"2021-10-31 22:16:00","2021-10-31 22:16:00","2021-11-01 01:16:00","2021-11-01 01:16:00","1277.9"
"2021-10-31 22:19:00","2021-10-31 22:19:00","2021-11-01 01:19:00","2021-11-01 01:19:00","1278.0"
"2021-10-31 22:22:00","2021-10-31 22:22:00","2021-11-01 01:22:00","2021-11-01 01:22:00","1275.0"
"2021-10-31 22:25:00","2021-10-31 22:25:00","2021-11-01 01:25:00","2021-11-01 01:25:00","1276.0"
"2021-10-31 22:28:00","2021-10-31 22:28:00","2021-11-01 01:28:00","2021-11-01 01:28:00","1257.5"
"2021-10-31 22:31:00","2021-10-31 22:31:00","2021-11-01 01:31:00","2021-11-01 01:31:00","1238.5"
"2021-10-31 22:34:00","2021-10-31 22:34:00","2021-11-01 01:34:00","2021-11-01 01:34:00","1242.0"
"2021-10-31 22:37:00","2021-10-31 22:37:00","2021-11-01 01:37:00","2021-11-01 01:37:00","1241.0"
"2021-10-31 22:40:00","2021-10-31 22:40:00","2021-11-01 01:40:00","2021-11-01 01:40:00","1245.0"
"2021-10-31 22:43:00","2021-10-31 22:43:00","2021-11-01 01:43:00","2021-11-01 01:43:00","1220.0"
"2021-10-31 22:46:00","2021-10-31 22:46:00","2021-11-01 01:46:00","2021-11-01 01:46:00","1238.5"
"2021-10-31 22:49:00","2021-10-31 22:49:00","2021-11-01 01:49:00","2021-11-01 01:49:00","1216.5"
"2021-10-31 22:52:00","2021-10-31 22:52:00","2021-11-01 01:52:00","2021-11-01 01:52:00","1221.0"
"2021-10-31 22:55:00","2021-10-31 22:55:00","2021-11-01 01:55:00","2021-11-01 01:55:00","1199.5"
"2021-10-31 22:58:00","2021-10-31 22:58:00","2021-11-01 01:58:00","2021-11-01 01:58:00","1192.5"
"2021-10-31 23:01:00","2021-10-31 23:01:00","2021-11-01 02:01:00","2021-11-01 02:01:00","1176.5"
"2021-10-31 23:04:00","2021-10-31 23:04:00","2021-11-01 02:04:00","2021-11-01 02:04:00","1165.0"
"2021-10-31 23:07:00","2021-10-31 23:07:00","2021-11-01 02:07:00","2021-11-01 02:07:00","1180.0"
"2021-10-31 23:10:00","2021-10-31 23:10:00","2021-11-01 02:10:00","2021-11-01 02:10:00","1187.0"
"2021-10-31 23:13:00","2021-10-31 23:13:00","2021-11-01 02:13:00","2021-11-01 02:13:00","1184.5"
"2021-10-31 23:16:00","2021-10-31 23:16:00","2021-11-01 02:16:00","2021-11-01 02:16:00","1187.0"
"2021-10-31 23:19:00","2021-10-31 23:19:00","2021-11-01 02:19:00","2021-11-01 02:19:00","1165.6"
"2021-10-31 23:22:00","2021-10-31 23:22:00","2021-11-01 02:22:00","2021-11-01 02:22:00","1169.0"
"2021-10-31 23:25:00","2021-10-31 23:25:00","2021-11-01 02:25:00","2021-11-01 02:25:00","1177.5"
"2021-10-31 23:28:00","2021-10-31 23:28:00","2021-11-01 02:28:00","2021-11-01 02:28:00","1180.5"
"2021-10-31 23:31:00","2021-10-31 23:31:00","2021-11-01 02:31:00","2021-11-01 02:31:00","1184.5"
"2021-10-31 23:34:00","2021-10-31 23:34:00","2021-11-01 02:34:00","2021-11-01 02:34:00","1190.0"
"2021-10-31 23:37:00","2021-10-31 23:37:00","2021-11-01 02:37:00","2021-11-01 02:37:00","1177.6"
"2021-10-31 23:40:00","2021-10-31 23:40:00","2021-11-01 02:40:00","2021-11-01 02:40:00","1167.0"
"2021-10-31 23:43:00","2021-10-31 23:43:00","2021-11-01 02:43:00","2021-11-01 02:43:00","1143.0"
"2021-10-31 23:46:00","2021-10-31 23:46:00","2021-11-01 02:46:00","2021-11-01 02:46:00","1139.6"
"2021-10-31 23:49:00","2021-10-31 23:49:00","2021-11-01 02:49:00","2021-11-01 02:49:00","1131.0"
"2021-10-31 23:52:00","2021-10-31 23:52:00","2021-11-01 02:52:00","2021-11-01 02:52:00","1136.0"
"2021-10-31 23:55:00","2021-10-31 23:55:00","2021-11-01 02:55:00","2021-11-01 02:55:00","1126.0"
"2021-10-31 23:58:00","2021-10-31 23:58:00","2021-11-01 02:58:00","2021-11-01 02:58:00","1139.0"
"2021-11-01 00:01:00","2021-11-01 00:01:00","2021-11-01 03:01:00","2021-11-01 03:01:00","1093.0"
"2021-11-01 00:04:00","2021-11-01 00:04:00","2021-11-01 03:04:00","2021-11-01 03:04:00","1094.0"
"2021-11-01 00:07:00","2021-11-01 00:07:00","2021-11-01 03:07:00","2021-11-01 03:07:00","1094.5"
"2021-11-01 00:10:00","2021-11-01 00:10:00","2021-11-01 03:10:00","2021-11-01 03:10:00","1092.0"
"2021-11-01 00:13:00","2021-11-01 00:13:00","2021-11-01 03:13:00","2021-11-01 03:13:00","1080.5"
"2021-11-01 00:16:00","2021-11-01 00:16:00","2021-11-01 03:16:00","2021-11-01 03:16:00","1077.4"
"2021-11-01 00:19:00","2021-11-01 00:19:00","2021-11-01 03:19:00","2021-11-01 03:19:00","1087.5"
