"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-12-31 23:37:00","2021-12-31 23:37:00","2022-01-01 02:37:00","2022-01-01 02:37:00","1482.5"
"2021-12-31 23:40:00","2021-12-31 23:40:00","2022-01-01 02:40:00","2022-01-01 02:40:00","1481.5"
"2021-12-31 23:43:00","2021-12-31 23:43:00","2022-01-01 02:43:00","2022-01-01 02:43:00","1471.1"
"2021-12-31 23:46:00","2021-12-31 23:46:00","2022-01-01 02:46:00","2022-01-01 02:46:00","1471.0"
"2021-12-31 23:49:00","2021-12-31 23:49:00","2022-01-01 02:49:00","2022-01-01 02:49:00","1480.0"
"2021-12-31 23:52:00","2021-12-31 23:52:00","2022-01-01 02:52:00","2022-01-01 02:52:00","1485.9"
"2021-12-31 23:55:00","2021-12-31 23:55:00","2022-01-01 02:55:00","2022-01-01 02:55:00","1510.0"
"2021-12-31 23:58:00","2021-12-31 23:58:00","2022-01-01 02:58:00","2022-01-01 02:58:00","1501.0"
"2022-01-01 00:01:00","2022-01-01 00:01:00","2022-01-01 03:01:00","2022-01-01 03:01:00","1519.5"
"2022-01-01 00:04:00","2022-01-01 00:04:00","2022-01-01 03:04:00","2022-01-01 03:04:00","1516.0"
"2022-01-01 00:07:00","2022-01-01 00:07:00","2022-01-01 03:07:00","2022-01-01 03:07:00","1508.5"
"2022-01-01 00:10:00","2022-01-01 00:10:00","2022-01-01 03:10:00","2022-01-01 03:10:00","1515.5"
"2022-01-01 00:13:00","2022-01-01 00:13:00","2022-01-01 03:13:00","2022-01-01 03:13:00","1518.0"
"2022-01-01 00:16:00","2022-01-01 00:16:00","2022-01-01 03:16:00","2022-01-01 03:16:00","1526.9"
"2022-01-01 00:19:00","2022-01-01 00:19:00","2022-01-01 03:19:00","2022-01-01 03:19:00","1530.5"
"2022-01-01 00:22:00","2022-01-01 00:22:00","2022-01-01 03:22:00","2022-01-01 03:22:00","1542.5"
"2022-01-01 00:25:00","2022-01-01 00:25:00","2022-01-01 03:25:00","2022-01-01 03:25:00","1530.0"
"2022-01-01 00:28:00","2022-01-01 00:28:00","2022-01-01 03:28:00","2022-01-01 03:28:00","1540.5"
"2022-01-01 00:31:00","2022-01-01 00:31:00","2022-01-01 03:31:00","2022-01-01 03:31:00","1557.6"
"2022-01-01 00:34:00","2022-01-01 00:34:00","2022-01-01 03:34:00","2022-01-01 03:34:00","1555.5"
"2022-01-01 00:37:00","2022-01-01 00:37:00","2022-01-01 03:37:00","2022-01-01 03:37:00","1568.0"
"2022-01-01 00:40:00","2022-01-01 00:40:00","2022-01-01 03:40:00","2022-01-01 03:40:00","1553.0"
"2022-01-01 00:43:00","2022-01-01 00:43:00","2022-01-01 03:43:00","2022-01-01 03:43:00","1553.5"
"2022-01-01 00:46:00","2022-01-01 00:46:00","2022-01-01 03:46:00","2022-01-01 03:46:00","1549.0"
"2022-01-01 00:49:00","2022-01-01 00:49:00","2022-01-01 03:49:00","2022-01-01 03:49:00","1540.0"
"2022-01-01 00:52:00","2022-01-01 00:52:00","2022-01-01 03:52:00","2022-01-01 03:52:00","1539.0"
"2022-01-01 00:55:00","2022-01-01 00:55:00","2022-01-01 03:55:00","2022-01-01 03:55:00","1552.8"
"2022-01-01 00:58:00","2022-01-01 00:58:00","2022-01-01 03:58:00","2022-01-01 03:58:00","1552.1"
"2022-01-01 01:01:00","2022-01-01 01:01:00","2022-01-01 04:01:00","2022-01-01 04:01:00","1543.0"
"2022-01-01 01:04:00","2022-01-01 01:04:00","2022-01-01 04:04:00","2022-01-01 04:04:00","1540.5"
"2022-01-01 01:07:00","2022-01-01 01:07:00","2022-01-01 04:07:00","2022-01-01 04:07:00","1537.0"
"2022-01-01 01:10:00","2022-01-01 01:10:00","2022-01-01 04:10:00","2022-01-01 04:10:00","1544.0"
"2022-01-01 01:13:00","2022-01-01 01:13:00","2022-01-01 04:13:00","2022-01-01 04:13:00","1549.5"
"2022-01-01 01:16:00","2022-01-01 01:16:00","2022-01-01 04:16:00","2022-01-01 04:16:00","1559.4"
"2022-01-01 01:19:00","2022-01-01 01:19:00","2022-01-01 04:19:00","2022-01-01 04:19:00","1566.5"
"2022-01-01 01:22:00","2022-01-01 01:22:00","2022-01-01 04:22:00","2022-01-01 04:22:00","1571.0"
"2022-01-01 01:25:00","2022-01-01 01:25:00","2022-01-01 04:25:00","2022-01-01 04:25:00","1576.9"
"2022-01-01 01:28:00","2022-01-01 01:28:00","2022-01-01 04:28:00","2022-01-01 04:28:00","1582.0"
"2022-01-01 01:31:00","2022-01-01 01:31:00","2022-01-01 04:31:00","2022-01-01 04:31:00","1593.0"
"2022-01-01 01:34:00","2022-01-01 01:34:00","2022-01-01 04:34:00","2022-01-01 04:34:00","1588.5"
"2022-01-01 01:37:00","2022-01-01 01:37:00","2022-01-01 04:37:00","2022-01-01 04:37:00","1590.0"
"2022-01-01 01:40:00","2022-01-01 01:40:00","2022-01-01 04:40:00","2022-01-01 04:40:00","1594.5"
"2022-01-01 01:43:00","2022-01-01 01:43:00","2022-01-01 04:43:00","2022-01-01 04:43:00","1594.0"
"2022-01-01 01:46:00","2022-01-01 01:46:00","2022-01-01 04:46:00","2022-01-01 04:46:00","1619.5"
"2022-01-01 01:49:00","2022-01-01 01:49:00","2022-01-01 04:49:00","2022-01-01 04:49:00","1636.5"
"2022-01-01 01:52:00","2022-01-01 01:52:00","2022-01-01 04:52:00","2022-01-01 04:52:00","1637.0"
"2022-01-01 01:55:00","2022-01-01 01:55:00","2022-01-01 04:55:00","2022-01-01 04:55:00","1650.5"
"2022-01-01 01:58:00","2022-01-01 01:58:00","2022-01-01 04:58:00","2022-01-01 04:58:00","1679.4"
"2022-01-01 02:01:00","2022-01-01 02:01:00","2022-01-01 05:01:00","2022-01-01 05:01:00","1686.0"
"2022-01-01 02:04:00","2022-01-01 02:04:00","2022-01-01 05:04:00","2022-01-01 05:04:00","1685.0"
"2022-01-01 02:07:00","2022-01-01 02:07:00","2022-01-01 05:07:00","2022-01-01 05:07:00","1708.5"
"2022-01-01 02:10:00","2022-01-01 02:10:00","2022-01-01 05:10:00","2022-01-01 05:10:00","1725.4"
"2022-01-01 02:13:00","2022-01-01 02:13:00","2022-01-01 05:13:00","2022-01-01 05:13:00","1725.0"
"2022-01-01 02:16:00","2022-01-01 02:16:00","2022-01-01 05:16:00","2022-01-01 05:16:00","1738.5"
"2022-01-01 02:19:00","2022-01-01 02:19:00","2022-01-01 05:19:00","2022-01-01 05:19:00","1750.0"
"2022-01-01 02:22:00","2022-01-01 02:22:00","2022-01-01 05:22:00","2022-01-01 05:22:00","1755.9"
"2022-01-01 02:25:00","2022-01-01 02:25:00","2022-01-01 05:25:00","2022-01-01 05:25:00","1749.6"
"2022-01-01 02:28:00","2022-01-01 02:28:00","2022-01-01 05:28:00","2022-01-01 05:28:00","1754.5"
"2022-01-01 02:31:00","2022-01-01 02:31:00","2022-01-01 05:31:00","2022-01-01 05:31:00","1734.5"
