"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-08 00:00";"4,73";"−0,8"
"2022-03-08 01:00";"2,57";"−0,1"
"2022-03-08 02:00";"2,63";"−0,5"
"2022-03-08 03:00";"12,93";"−0,2"
"2022-03-08 04:00";"6,37";"−0,2"
"2022-03-08 05:00";"2,51";"−0,2"
"2022-03-08 06:00";"2,78";"−0,4"
"2022-03-08 07:00";"3,02";"−0,4"
"2022-03-08 08:00";"3,27";"−0,4"
"2022-03-08 09:00";"3,99";"−0,2"
"2022-03-08 10:00";"4,03";"0"
"2022-03-08 11:00";"2,84";"0"
"2022-03-08 12:00";"2,78";"−0,1"
"2022-03-08 13:00";"4,90";"0"
"2022-03-08 14:00";"3,62";"−0,3"
"2022-03-08 15:00";"2,71";"−1,2"
"2022-03-08 16:00";"2,81";"−1,8"
"2022-03-08 17:00";"2,47";"−2,2"
"2022-03-08 18:00";"3,10";"−2,9"
"2022-03-08 19:00";"2,56";"−3,4"
"2022-03-08 20:00";"2,38";"−3,6"
"2022-03-08 21:00";"3,20";"−3,7"
"2022-03-08 22:00";"2,37";"−3,8"
"2022-03-08 23:00";"2,66";"−4,1"
