"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-15 00:00";"4,03";"1,5"
"2022-02-15 01:00";"4,22";"1,6"
"2022-02-15 02:00";"4,77";"1,7"
"2022-02-15 03:00";"14,75";"1,6"
"2022-02-15 04:00";"10,86";"1,4"
"2022-02-15 05:00";"3,38";"1,3"
"2022-02-15 06:00";"2,03";"1,3"
"2022-02-15 07:00";"1,95";"1,1"
"2022-02-15 08:00";"2,05";"1,2"
"2022-02-15 09:00";"2,82";"1,1"
"2022-02-15 10:00";"4,18";"1,4"
"2022-02-15 11:00";"3,04";"1,6"
"2022-02-15 12:00";"3,86";"1,5"
"2022-02-15 13:00";"3,44";"1,4"
"2022-02-15 14:00";"1,89";"1,0"
"2022-02-15 15:00";"2,18";"0,4"
"2022-02-15 16:00";"2,88";"0,4"
"2022-02-15 17:00";"2,77";"0,4"
"2022-02-15 18:00";"2,90";"0,7"
"2022-02-15 19:00";"3,34";"1,2"
"2022-02-15 20:00";"3,23";"1,5"
"2022-02-15 21:00";"5,51";"1,5"
"2022-02-15 22:00";"3,69";"1,5"
"2022-02-15 23:00";"5,88";"1,5"
