"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-02 00:00";"2,99";"−2,2"
"2022-03-02 01:00";"4,06";"−3,3"
"2022-03-02 02:00";"7,95";"−3,1"
"2022-03-02 03:00";"15,12";"−3,2"
"2022-03-02 04:00";"7,92";"−3,1"
"2022-03-02 05:00";"4,89";"−3,7"
"2022-03-02 06:00";"4,55";"−4,1"
"2022-03-02 07:00";"3,03";"−3,8"
"2022-03-02 08:00";"2,38";"−2,8"
"2022-03-02 09:00";"3,04";"−1,1"
"2022-03-02 10:00";"2,33";"0,6"
"2022-03-02 11:00";"2,22";"2,0"
"2022-03-02 12:00";"2,09";"2,7"
"2022-03-02 13:00";"2,06";"3,7"
"2022-03-02 14:00";"3,00";"3,6"
"2022-03-02 15:00";"3,26";"3,3"
"2022-03-02 16:00";"3,14";"2,2"
"2022-03-02 17:00";"3,39";"0,5"
"2022-03-02 18:00";"2,38";"−0,1"
"2022-03-02 19:00";"2,12";"−1,5"
"2022-03-02 20:00";"2,25";"−2,0"
"2022-03-02 21:00";"3,91";"−1,7"
"2022-03-02 22:00";"4,08";"−1,4"
"2022-03-02 23:00";"2,98";"−1,7"
