"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-20 00:00";"3,13";"−0,2"
"2022-02-20 01:00";"3,95";"−0,6"
"2022-02-20 02:00";"3,36";"−1,0"
"2022-02-20 03:00";"3,17";"−1,6"
"2022-02-20 04:00";"4,33";"−2,1"
"2022-02-20 05:00";"4,94";"−1,9"
"2022-02-20 06:00";"5,65";"−1,3"
"2022-02-20 07:00";"2,92";"−1,0"
"2022-02-20 08:00";"3,04";"−0,9"
"2022-02-20 09:00";"3,12";"−0,7"
"2022-02-20 10:00";"3,11";"−0,7"
"2022-02-20 11:00";"4,44";"−0,7"
"2022-02-20 12:00";"3,59";"−0,7"
"2022-02-20 13:00";"3,28";"−0,7"
"2022-02-20 14:00";"3,38";"−0,8"
"2022-02-20 15:00";"5,93";"−0,9"
"2022-02-20 16:00";"3,23";"−0,9"
"2022-02-20 17:00";"3,19";"−0,6"
"2022-02-20 18:00";"3,48";"−0,4"
"2022-02-20 19:00";"4,18";"−0,5"
"2022-02-20 20:00";"2,64";"−0,7"
"2022-02-20 21:00";"3,24";"−1,9"
"2022-02-20 22:00";"4,11";"−2,6"
"2022-02-20 23:00";"5,11";"−2,6"
