"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-03 00:00";"3,22";"−0,7"
"2022-03-03 01:00";"2,98";"0"
"2022-03-03 02:00";"3,45";"0,3"
"2022-03-03 03:00";"14,77";"0,6"
"2022-03-03 04:00";"8,87";"0,8"
"2022-03-03 05:00";"4,55";"0,8"
"2022-03-03 06:00";"4,30";"0,9"
"2022-03-03 07:00";"2,73";"1,0"
"2022-03-03 08:00";"2,62";"1,1"
"2022-03-03 09:00";"2,78";"1,3"
"2022-03-03 10:00";"3,29";"1,6"
"2022-03-03 11:00";"1,95";"1,7"
"2022-03-03 12:00";"1,93";"2,0"
"2022-03-03 13:00";"3,82";"2,3"
"2022-03-03 14:00";"5,18";"2,4"
"2022-03-03 15:00";"5,05";"2,2"
"2022-03-03 16:00";"3,55";"1,2"
"2022-03-03 17:00";"1,79";"0,2"
"2022-03-03 18:00";"3,84";"−0,8"
"2022-03-03 19:00";"1,83";"−1,0"
"2022-03-03 20:00";"2,92";"−1,7"
"2022-03-03 21:00";"2,72";"−2,4"
"2022-03-03 22:00";"3,59";"−2,9"
"2022-03-03 23:00";"5,41";"−3,2"
