"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-06 00:00";"3,11";"−10,5"
"2022-03-06 01:00";"2,25";"−10,5"
"2022-03-06 02:00";"1,88";"−11,7"
"2022-03-06 03:00";"3,20";"−12,4"
"2022-03-06 04:00";"3,87";"−13,1"
"2022-03-06 05:00";"4,83";"−13,2"
"2022-03-06 06:00";"3,75";"−13,4"
"2022-03-06 07:00";"1,92";"−10,7"
"2022-03-06 08:00";"1,98";"−7,5"
"2022-03-06 09:00";"2,91";"−2,8"
"2022-03-06 10:00";"2,43";"−0,7"
"2022-03-06 11:00";"2,02";"0,5"
"2022-03-06 12:00";"1,84";"1,5"
"2022-03-06 13:00";"2,08";"1,6"
"2022-03-06 14:00";"2,36";"1,7"
"2022-03-06 15:00";"4,08";"1,1"
"2022-03-06 16:00";"5,62";"−0,1"
"2022-03-06 17:00";"4,33";"−1,7"
"2022-03-06 18:00";"2,60";"−2,1"
"2022-03-06 19:00";"3,59";"−3,0"
"2022-03-06 20:00";"3,35";"−3,0"
"2022-03-06 21:00";"5,65";"−3,3"
"2022-03-06 22:00";"5,47";"−3,8"
"2022-03-06 23:00";"5,18";"−4,4"
