"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-07 00:00";"3,59";"−4,7"
"2022-03-07 01:00";"2,77";"−4,4"
"2022-03-07 02:00";"8,66";"−3,9"
"2022-03-07 03:00";"13,38";"−4,1"
"2022-03-07 04:00";"6,48";"−3,8"
"2022-03-07 05:00";"2,80";"−3,5"
"2022-03-07 06:00";"2,78";"−3,5"
"2022-03-07 07:00";"2,63";"−3,6"
"2022-03-07 08:00";"3,56";"−2,1"
"2022-03-07 09:00";"2,92";"−0,7"
"2022-03-07 10:00";"2,07";"0,1"
"2022-03-07 11:00";"3,44";"1,3"
"2022-03-07 12:00";"5,34";"2,4"
"2022-03-07 13:00";"4,94";"2,7"
"2022-03-07 14:00";"4,30";"2,9"
"2022-03-07 15:00";"4,21";"2,9"
"2022-03-07 16:00";"4,35";"2,2"
"2022-03-07 17:00";"4,77";"1,5"
"2022-03-07 18:00";"4,26";"0,6"
"2022-03-07 19:00";"4,27";"0"
"2022-03-07 20:00";"3,01";"0,1"
"2022-03-07 21:00";"4,02";"0,3"
"2022-03-07 22:00";"3,92";"−0,7"
"2022-03-07 23:00";"5,10";"−0,9"
