"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-27 00:00";"5,30";"−0,2"
"2022-02-27 01:00";"6,19";"−0,4"
"2022-02-27 02:00";"4,82";"−1,2"
"2022-02-27 03:00";"4,48";"−1,8"
"2022-02-27 04:00";"4,89";"−2,3"
"2022-02-27 05:00";"4,94";"−2,9"
"2022-02-27 06:00";"4,81";"−3,2"
"2022-02-27 07:00";"2,90";"−3,3"
"2022-02-27 08:00";"2,67";"−2,6"
"2022-02-27 09:00";"3,01";"−1,6"
"2022-02-27 10:00";"5,95";"−0,9"
"2022-02-27 11:00";"5,02";"−0,5"
"2022-02-27 12:00";"4,11";"−0,1"
"2022-02-27 13:00";"5,70";"0"
"2022-02-27 14:00";"4,66";"−0,2"
"2022-02-27 15:00";"5,17";"−0,7"
"2022-02-27 16:00";"3,13";"−2,0"
"2022-02-27 17:00";"3,64";"−4,2"
"2022-02-27 18:00";"5,91";"−5,4"
"2022-02-27 19:00";"3,04";"−6,1"
"2022-02-27 20:00";"6,34";"−6,6"
"2022-02-27 21:00";"7,11";"−6,6"
"2022-02-27 22:00";"4,74";"−8,7"
"2022-02-27 23:00";"5,93";"−10,1"
