"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-25 00:00";"9,20";"−11,5"
"2022-02-25 01:00";"7,16";"−12,4"
"2022-02-25 02:00";"3,83";"−13,8"
"2022-02-25 03:00";"7,33";"−16,2"
"2022-02-25 04:00";"7,71";"−16,0"
"2022-02-25 05:00";"4,76";"−16,0"
"2022-02-25 06:00";"4,58";"−16,9"
"2022-02-25 07:00";"3,57";"−15,7"
"2022-02-25 08:00";"4,37";"−13,4"
"2022-02-25 09:00";"3,06";"−11,5"
"2022-02-25 10:00";"3,21";"−11,1"
"2022-02-25 11:00";"3,17";"−9,9"
"2022-02-25 12:00";"4,15";"−8,6"
"2022-02-25 13:00";"2,36";"−7,2"
"2022-02-25 14:00";"3,20";"−6,8"
"2022-02-25 15:00";"3,51";"−6,0"
"2022-02-25 16:00";"4,81";"−7,0"
"2022-02-25 17:00";"3,44";"−7,4"
"2022-02-25 18:00";"3,29";"−7,9"
"2022-02-25 19:00";"3,29";"−7,9"
"2022-02-25 20:00";"3,96";"−6,7"
"2022-02-25 21:00";"2,78";"−3,6"
"2022-02-25 22:00";"2,62";"−1,4"
"2022-02-25 23:00";"2,64";"−0,8"
