"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-16 00:00";"8,73";"1,5"
"2022-02-16 01:00";"7,98";"1,6"
"2022-02-16 02:00";"5,34";"1,7"
"2022-02-16 03:00";"7,84";"1,6"
"2022-02-16 04:00";"7,95";"1,4"
"2022-02-16 05:00";"4,09";"1,3"
"2022-02-16 06:00";"2,96";"1,3"
"2022-02-16 07:00";"2,98";"1,1"
"2022-02-16 08:00";"3,20";"1,2"
"2022-02-16 09:00";"4,45";"1,1"
"2022-02-16 10:00";"0,03";"1,4"
"2022-02-16 11:00";"0";"1,6"
"2022-02-16 12:00";"0";"1,5"
"2022-02-16 13:00";"3,74";"1,4"
"2022-02-16 14:00";"5,88";"1,0"
"2022-02-16 15:00";"3,25";"0,4"
"2022-02-16 16:00";"2,96";"0,4"
"2022-02-16 17:00";"2,92";"0,4"
"2022-02-16 18:00";"3,35";"0,7"
"2022-02-16 19:00";"3,79";"1,2"
"2022-02-16 20:00";"3,51";"1,5"
"2022-02-16 21:00";"3,35";"1,5"
"2022-02-16 22:00";"4,16";"1,5"
"2022-02-16 23:00";"2,99";"1,5"
