"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-26 00:00";"5,17";"2,5"
"2022-02-26 01:00";"4,16";"2,3"
"2022-02-26 02:00";"4,39";"2,0"
"2022-02-26 03:00";"5,01";"1,8"
"2022-02-26 04:00";"4,02";"1,6"
"2022-02-26 05:00";"3,97";"1,3"
"2022-02-26 06:00";"4,00";"1,0"
"2022-02-26 07:00";"4,08";"0,6"
"2022-02-26 08:00";"2,54";"0,5"
"2022-02-26 09:00";"1,99";"0,5"
"2022-02-26 10:00";"3,18";"0,3"
"2022-02-26 11:00";"2,46";"0,3"
"2022-02-26 12:00";"3,61";"0,6"
"2022-02-26 13:00";"2,26";"0,8"
"2022-02-26 14:00";"2,24";"0,7"
"2022-02-26 15:00";"3,04";"0,7"
"2022-02-26 16:00";"3,00";"0,4"
"2022-02-26 17:00";"5,18";"0,5"
"2022-02-26 18:00";"3,58";"1,1"
"2022-02-26 19:00";"3,12";"1,2"
"2022-02-26 20:00";"3,27";"1,1"
"2022-02-26 21:00";"4,82";"1,0"
"2022-02-26 22:00";"5,62";"0,5"
"2022-02-26 23:00";"5,35";"0,4"
