"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-09 00:00";"2,64";"−3,9"
"2022-03-09 01:00";"2,32";"−3,5"
"2022-03-09 02:00";"2,41";"−3,6"
"2022-03-09 03:00";"1,94";"−4,1"
"2022-03-09 04:00";"2,03";"−4,3"
"2022-03-09 05:00";"1,61";"−4,2"
"2022-03-09 06:00";"1,66";"−4,1"
"2022-03-09 07:00";"1,57";"−3,8"
"2022-03-09 08:00";"1,77";"−3,4"
"2022-03-09 09:00";"1,61";"−3,3"
"2022-03-09 10:00";"1,95";"−3,3"
"2022-03-09 11:00";"3,49";"−3,2"
"2022-03-09 12:00";"2,50";"−2,8"
"2022-03-09 13:00";"3,28";"−2,6"
"2022-03-09 14:00";"2,38";"−2,5"
"2022-03-09 15:00";"11,15";"−2,5"
"2022-03-09 16:00";"15,88";"−2,6"
"2022-03-09 17:00";"8,15";"−3,0"
"2022-03-09 18:00";"3,95";"−3,1"
"2022-03-09 19:00";"6,15";"−3,2"
"2022-03-09 20:00";"6,93";"−3,2"
"2022-03-09 21:00";"5,86";"−3,4"
"2022-03-09 22:00";"7,35";"−3,8"
"2022-03-09 23:00";"5,77";"−3,7"
