"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-28 00:00";"4,39";"−10,7"
"2022-02-28 01:00";"2,86";"−11,1"
"2022-02-28 02:00";"2,80";"−11,6"
"2022-02-28 03:00";"7,72";"−11,5"
"2022-02-28 04:00";"8,36";"−10,7"
"2022-02-28 05:00";"4,63";"−6,1"
"2022-02-28 06:00";"4,31";"−2,1"
"2022-02-28 07:00";"2,75";"−1,2"
"2022-02-28 08:00";"2,93";"−0,7"
"2022-02-28 09:00";"2,66";"0,1"
"2022-02-28 10:00";"4,20";"0,6"
"2022-02-28 11:00";"2,73";"1,6"
"2022-02-28 12:00";"1,89";"2,0"
"2022-02-28 13:00";"4,72";"2,3"
"2022-02-28 14:00";"4,85";"2,3"
"2022-02-28 15:00";"5,12";"2,1"
"2022-02-28 16:00";"4,79";"1,4"
"2022-02-28 17:00";"1,49";"1,0"
"2022-02-28 18:00";"3,60";"0,7"
"2022-02-28 19:00";"12,37";"0,3"
"2022-02-28 20:00";"3,69";"−0,1"
"2022-02-28 21:00";"3,61";"−0,6"
"2022-02-28 22:00";"4,08";"−1,0"
"2022-02-28 23:00";"4,53";"−1,7"
