"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-22 00:00";"4,38";"−1,7"
"2022-02-22 01:00";"3,18";"−1,6"
"2022-02-22 02:00";"5,80";"−1,8"
"2022-02-22 03:00";"14,36";"−1,5"
"2022-02-22 04:00";"6,57";"−1,5"
"2022-02-22 05:00";"4,78";"−1,9"
"2022-02-22 06:00";"4,65";"−1,8"
"2022-02-22 07:00";"3,32";"−1,6"
"2022-02-22 08:00";"3,21";"−1,4"
"2022-02-22 09:00";"4,39";"−1,3"
"2022-02-22 10:00";"4,29";"−1,3"
"2022-02-22 11:00";"2,56";"−1,1"
"2022-02-22 12:00";"2,60";"−0,7"
"2022-02-22 13:00";"3,78";"−1,0"
"2022-02-22 14:00";"4,31";"−1,3"
"2022-02-22 15:00";"2,42";"−1,2"
"2022-02-22 16:00";"3,47";"−1,1"
"2022-02-22 17:00";"2,56";"−0,9"
"2022-02-22 18:00";"2,52";"−0,6"
"2022-02-22 19:00";"2,49";"−0,5"
"2022-02-22 20:00";"3,73";"−0,4"
"2022-02-22 21:00";"4,35";"−0,3"
"2022-02-22 22:00";"5,70";"−0,2"
"2022-02-22 23:00";"6,44";"−0,2"
