"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-23 00:00";"5,05";"−0,2"
"2022-02-23 01:00";"3,63";"−0,2"
"2022-02-23 02:00";"7,87";"−0,3"
"2022-02-23 03:00";"7,89";"−0,7"
"2022-02-23 04:00";"4,86";"−0,8"
"2022-02-23 05:00";"4,78";"−1,3"
"2022-02-23 06:00";"4,90";"−1,9"
"2022-02-23 07:00";"3,35";"−2,5"
"2022-02-23 08:00";"3,72";"−3,1"
"2022-02-23 09:00";"3,42";"−3,6"
"2022-02-23 10:00";"3,58";"−3,6"
"2022-02-23 11:00";"5,13";"−3,6"
"2022-02-23 12:00";"4,73";"−3,7"
"2022-02-23 13:00";"5,31";"−4,0"
"2022-02-23 14:00";"2,12";"−4,1"
"2022-02-23 15:00";"2,06";"−4,1"
"2022-02-23 16:00";"9,03";"−4,5"
"2022-02-23 17:00";"11,55";"−5,0"
"2022-02-23 18:00";"5,58";"−5,5"
"2022-02-23 19:00";"3,35";"−6,7"
"2022-02-23 20:00";"3,84";"−8,0"
"2022-02-23 21:00";"6,03";"−9,4"
"2022-02-23 22:00";"5,24";"−10,6"
"2022-02-23 23:00";"5,63";"−11,1"
