"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-04 00:00";"4,34";"−3,7"
"2022-03-04 01:00";"1,90";"−4,0"
"2022-03-04 02:00";"6,81";"−4,5"
"2022-03-04 03:00";"13,63";"−4,3"
"2022-03-04 04:00";"6,79";"−4,0"
"2022-03-04 05:00";"3,72";"−4,0"
"2022-03-04 06:00";"3,32";"−3,5"
"2022-03-04 07:00";"2,99";"−2,3"
"2022-03-04 08:00";"2,47";"−1,4"
"2022-03-04 09:00";"3,84";"0"
"2022-03-04 10:00";"3,18";"1,9"
"2022-03-04 11:00";"3,53";"2,7"
"2022-03-04 12:00";"3,15";"3,5"
"2022-03-04 13:00";"1,62";"3,9"
"2022-03-04 14:00";"2,04";"3,8"
"2022-03-04 15:00";"2,17";"3,5"
"2022-03-04 16:00";"1,89";"2,6"
"2022-03-04 17:00";"1,86";"1,2"
"2022-03-04 18:00";"3,52";"0"
"2022-03-04 19:00";"3,24";"−0,5"
"2022-03-04 20:00";"2,88";"−1,0"
"2022-03-04 21:00";"3,26";"−1,7"
"2022-03-04 22:00";"3,03";"−2,1"
"2022-03-04 23:00";"3,77";"−3,0"
