"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-18 00:00";"2,86";"1,9"
"2022-02-18 01:00";"3,01";"1,8"
"2022-02-18 02:00";"7,94";"1,6"
"2022-02-18 03:00";"15,27";"1,7"
"2022-02-18 04:00";"9,22";"1,6"
"2022-02-18 05:00";"4,73";"1,6"
"2022-02-18 06:00";"4,52";"1,7"
"2022-02-18 07:00";"4,85";"1,6"
"2022-02-18 08:00";"4,84";"1,4"
"2022-02-18 09:00";"4,85";"1,3"
"2022-02-18 10:00";"3,00";"1,4"
"2022-02-18 11:00";"3,25";"1,7"
"2022-02-18 12:00";"3,03";"1,8"
"2022-02-18 13:00";"4,07";"1,9"
"2022-02-18 14:00";"4,41";"1,8"
"2022-02-18 15:00";"2,65";"1,7"
"2022-02-18 16:00";"2,76";"1,5"
"2022-02-18 17:00";"3,77";"1,7"
"2022-02-18 18:00";"3,96";"1,6"
"2022-02-18 19:00";"3,41";"1,4"
"2022-02-18 20:00";"4,40";"1,4"
"2022-02-18 21:00";"5,43";"1,3"
"2022-02-18 22:00";"3,80";"1,2"
"2022-02-18 23:00";"4,11";"0,9"
