"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-17 00:00";"3,44";"1,9"
"2022-02-17 01:00";"2,52";"1,8"
"2022-02-17 02:00";"10,97";"1,6"
"2022-02-17 03:00";"14,66";"1,7"
"2022-02-17 04:00";"6,83";"1,6"
"2022-02-17 05:00";"4,47";"1,6"
"2022-02-17 06:00";"5,57";"1,7"
"2022-02-17 07:00";"4,07";"1,6"
"2022-02-17 08:00";"4,12";"1,4"
"2022-02-17 09:00";"1,80";"1,3"
"2022-02-17 10:00";"1,73";"1,4"
"2022-02-17 11:00";"2,52";"1,7"
"2022-02-17 12:00";"2,70";"1,8"
"2022-02-17 13:00";"4,96";"1,9"
"2022-02-17 14:00";"5,33";"1,8"
"2022-02-17 15:00";"5,25";"1,7"
"2022-02-17 16:00";"5,31";"1,5"
"2022-02-17 17:00";"5,21";"1,7"
"2022-02-17 18:00";"5,84";"1,6"
"2022-02-17 19:00";"3,30";"1,4"
"2022-02-17 20:00";"3,08";"1,4"
"2022-02-17 21:00";"3,11";"1,3"
"2022-02-17 22:00";"4,52";"1,2"
"2022-02-17 23:00";"4,48";"0,9"
