"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-05 00:00";"2,73";"−3,9"
"2022-03-05 01:00";"3,26";"−4,4"
"2022-03-05 02:00";"5,74";"−5,0"
"2022-03-05 03:00";"16,97";"−5,4"
"2022-03-05 04:00";"14,18";"−6,1"
"2022-03-05 05:00";"6,10";"−6,9"
"2022-03-05 06:00";"4,40";"−6,8"
"2022-03-05 07:00";"2,75";"−5,8"
"2022-03-05 08:00";"2,69";"−4,5"
"2022-03-05 09:00";"2,63";"−3,2"
"2022-03-05 10:00";"2,56";"−1,6"
"2022-03-05 11:00";"2,72";"−0,8"
"2022-03-05 12:00";"2,67";"0"
"2022-03-05 13:00";"4,53";"0,5"
"2022-03-05 14:00";"2,86";"0,9"
"2022-03-05 15:00";"2,25";"1,0"
"2022-03-05 16:00";"3,08";"−0,1"
"2022-03-05 17:00";"1,93";"−2,9"
"2022-03-05 18:00";"2,00";"−4,2"
"2022-03-05 19:00";"3,47";"−5,9"
"2022-03-05 20:00";"3,69";"−6,9"
"2022-03-05 21:00";"2,12";"−7,9"
"2022-03-05 22:00";"2,10";"−8,9"
"2022-03-05 23:00";"3,05";"−9,9"
