"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-03-01 00:00";"6,64";"−2,2"
"2022-03-01 01:00";"5,69";"−3,3"
"2022-03-01 02:00";"3,04";"−3,1"
"2022-03-01 03:00";"4,38";"−3,2"
"2022-03-01 04:00";"5,04";"−3,1"
"2022-03-01 05:00";"4,87";"−3,7"
"2022-03-01 06:00";"4,44";"−4,1"
"2022-03-01 07:00";"2,82";"−3,8"
"2022-03-01 08:00";"3,26";"−2,8"
"2022-03-01 09:00";"3,33";"−1,1"
"2022-03-01 10:00";"2,99";"0,6"
"2022-03-01 11:00";"2,02";"2,0"
"2022-03-01 12:00";"2,11";"2,7"
"2022-03-01 13:00";"2,60";"3,7"
"2022-03-01 14:00";"4,19";"3,6"
"2022-03-01 15:00";"5,10";"3,3"
"2022-03-01 16:00";"3,60";"2,2"
"2022-03-01 17:00";"3,23";"0,5"
"2022-03-01 18:00";"2,96";"−0,1"
"2022-03-01 19:00";"3,71";"−1,5"
"2022-03-01 20:00";"2,28";"−2,0"
"2022-03-01 21:00";"2,37";"−1,7"
"2022-03-01 22:00";"2,31";"−1,4"
"2022-03-01 23:00";"3,98";"−1,7"
