"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-21 00:00";"2,87";"−2,5"
"2022-02-21 01:00";"3,33";"−2,5"
"2022-02-21 02:00";"5,27";"−2,4"
"2022-02-21 03:00";"4,33";"−2,7"
"2022-02-21 04:00";"4,74";"−4,0"
"2022-02-21 05:00";"4,74";"−4,4"
"2022-02-21 06:00";"4,42";"−4,5"
"2022-02-21 07:00";"2,86";"−3,2"
"2022-02-21 08:00";"3,02";"−3,3"
"2022-02-21 09:00";"3,27";"−2,9"
"2022-02-21 10:00";"4,48";"−2,0"
"2022-02-21 11:00";"3,63";"−0,9"
"2022-02-21 12:00";"3,24";"−1,1"
"2022-02-21 13:00";"5,20";"−1,0"
"2022-02-21 14:00";"5,60";"−1,5"
"2022-02-21 15:00";"5,35";"−1,9"
"2022-02-21 16:00";"6,16";"−2,2"
"2022-02-21 17:00";"6,35";"−2,3"
"2022-02-21 18:00";"2,78";"−2,3"
"2022-02-21 19:00";"2,76";"−2,4"
"2022-02-21 20:00";"4,94";"−2,9"
"2022-02-21 21:00";"6,68";"−3,0"
"2022-02-21 22:00";"6,15";"−2,2"
"2022-02-21 23:00";"3,35";"−1,8"
