"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-19 00:00";"5,10";"0,5"
"2022-02-19 01:00";"5,36";"0"
"2022-02-19 02:00";"5,61";"0"
"2022-02-19 03:00";"8,97";"0,1"
"2022-02-19 04:00";"4,23";"0,2"
"2022-02-19 05:00";"5,24";"0,3"
"2022-02-19 06:00";"4,28";"0,2"
"2022-02-19 07:00";"4,14";"0,3"
"2022-02-19 08:00";"4,04";"0,8"
"2022-02-19 09:00";"3,91";"1,3"
"2022-02-19 10:00";"3,76";"2,4"
"2022-02-19 11:00";"3,33";"2,8"
"2022-02-19 12:00";"5,27";"2,2"
"2022-02-19 13:00";"4,21";"1,6"
"2022-02-19 14:00";"2,29";"1,0"
"2022-02-19 15:00";"5,11";"0,3"
"2022-02-19 16:00";"5,53";"0,2"
"2022-02-19 17:00";"5,48";"0,1"
"2022-02-19 18:00";"3,27";"0,1"
"2022-02-19 19:00";"2,46";"0,3"
"2022-02-19 20:00";"2,65";"0,3"
"2022-02-19 21:00";"2,97";"0,2"
"2022-02-19 22:00";"2,62";"0,1"
"2022-02-19 23:00";"2,53";"−0,1"
